ppo_nsteps_2048_lr_0.0003_cliprange_0.1; avg: 710.35807928, std: 5.84040966465637
ppo_nsteps_2048_lr_0.0003_cliprange_0.2; avg: 738.6722212000001, std: 10.81402653536615
ppo_nsteps_2048_lr_0.0003_cliprange_0.3; avg: 1180.97266606, std: 188.90802860148517
ppo_nsteps_2048_lr_0.001_cliprange_0.1; avg: 720.4136925800001, std: 3.1651519657445086
ppo_nsteps_2048_lr_0.001_cliprange_0.2; avg: 1254.8386058800002, std: 257.37454214808224
ppo_nsteps_2048_lr_0.001_cliprange_0.3; avg: 634.1113733200001, std: 97.23598078430213
ppo_nsteps_4096_lr_0.0003_cliprange_0.1; avg: 804.2752456800001, std: 6.877598926684995
ppo_nsteps_4096_lr_0.0003_cliprange_0.2; avg: 701.5848686400001, std: 11.512750682815323
ppo_nsteps_4096_lr_0.0003_cliprange_0.3; avg: 713.94920448, std: 9.165503292337386
ppo_nsteps_4096_lr_0.001_cliprange_0.1; avg: 1318.7132174399999, std: 115.26010369718757
ppo_nsteps_4096_lr_0.001_cliprange_0.2; avg: 672.06271158, std: 30.341066450113004
ppo_nsteps_4096_lr_0.001_cliprange_0.3; avg: 870.08866502, std: 112.81570135769034
